date,open,high,low,close,volume
13/10/2020,29.9746,30.1268,29.2328,29.2994,1128620
14/10/2020,29.0236,29.6703,28.7383,28.9666,1168105
15/10/2020,28.7003,29.4421,28.6242,29.3755,810796
16/10/2020,29.2804,29.6275,28.9925,29.3374,1015498
19/10/2020,29.5276,29.5276,28.4055,28.4245,1306379
20/10/2020,28.8239,29.1758,28.5244,28.7764,1287533
21/10/2020,28.6147,29.5086,28.6147,29.347,2238363
22/10/2020,29.3089,30.2314,29.1568,30.1268,3087889
23/10/2020,30.4976,30.5832,29.9556,30.2504,884681
26/10/2020,29.9556,29.9841,28.881,28.9856,1366930
27/10/2020,28.7669,29.0141,27.7303,27.7779,1440105
28/10/2020,27.3024,28.2248,27.1502,28.0061,2236393
29/10/2020,27.949,29.2376,27.6828,28.938,3679039
30/10/2020,29.3374,30.5642,28.377,28.7288,3327976
02/11/2020,29.3374,30.0982,29.1377,29.8272,2411368
03/11/2020,30.3835,30.7544,29.9841,30.3455,2120925
04/11/2020,29.7464,30.9636,29.2614,30.412,2227308
05/11/2020,30.5262,31.2299,30.1458,30.3455,2023760
06/11/2020,30.6878,30.7449,29.6703,30.0031,2192379
09/11/2020,32.3901,33.1699,32.295,32.7514,2331380
10/11/2020,32.8751,33.7404,32.5327,33.4932,1675267
11/11/2020,33.4932,33.7975,32.5898,33.0272,1291981
12/11/2020,32.4186,33.6834,31.705,32.0762,1376701
13/11/2020,32.5517,32.7229,31.382,32.4757,1456569
16/11/2020,33.4552,33.7975,33.1033,33.5693,1635101
17/11/2020,33.0465,33.5312,32.5422,33.5122,1539955
18/11/2020,33.7404,33.788,33.1699,33.1794,1306985
19/11/2020,32.9892,33.265,32.314,33.1604,1856167
20/11/2020,32.9892,33.1223,32.0858,32.3045,1942023
23/11/2020,32.4091,32.6563,32.0867,32.3235,2365009
24/11/2020,32.799,33.1176,32.1904,32.856,2963202
25/11/2020,32.5898,32.5898,31.6721,31.9051,2389653
27/11/2020,31.7149,31.9479,31.0872,31.4106,1413304
30/11/2020,31.0967,31.2869,30.3407,30.6165,11979570
01/12/2020,31.3915,31.5057,30.6022,31.4011,2428786
02/12/2020,31.3535,31.7054,30.9066,31.4866,1669166
03/12/2020,31.4011,31.4771,30.7829,30.9921,2129263
04/12/2020,31.5247,32.5612,31.2869,32.4947,1848201
07/12/2020,32.2855,32.4947,31.4296,31.6198,2067572
08/12/2020,31.4771,31.9336,31.3345,31.5532,1407431
09/12/2020,31.8005,31.9716,30.6117,31.9051,3524517
10/12/2020,31.7624,32.6658,31.6863,32.5898,2480389
11/12/2020,32.371,32.9511,32.0382,32.0953,1676781
14/12/2020,32.4281,32.6183,31.6673,31.9241,2788203
15/12/2020,32.2474,33.2174,31.9907,33.2174,2083313
16/12/2020,33.284,33.8355,33.1223,33.6644,2333116
17/12/2020,33.7595,34.0257,33.5835,33.807,2645687
18/12/2020,34.3871,34.3871,32.6183,32.7419,4251816
21/12/2020,32.5612,32.8656,32.0287,32.6849,1810916
22/12/2020,32.6373,32.9606,32.3615,32.8846,2512420
23/12/2020,33.1699,33.7785,33.1413,33.3601,2034692
24/12/2020,33.3696,33.3696,32.7609,33.1508,604663
28/12/2020,33.1508,33.7595,33.1508,33.5978,1587370
29/12/2020,33.8831,34.1399,33.4171,33.5693,1386824
30/12/2020,33.3791,33.8926,33.3173,33.8355,1065196
31/12/2020,33.7214,34.3776,33.5693,34.3015,1462048
04/01/2021,34.3776,34.4537,32.9416,33.1889,2167180
05/01/2021,33.322,33.6263,32.8085,33.322,1809026
06/01/2021,33.9592,35.3381,33.9211,34.7865,3357419
07/01/2021,35.0338,35.1431,34.1589,34.4632,2509905
08/01/2021,34.6439,34.7199,33.9401,34.6534,4449800
11/01/2021,34.4061,34.7865,34.0543,34.3966,1765508
12/01/2021,34.5393,34.739,34.1494,34.5868,2256580
13/01/2021,34.4632,34.9387,33.826,33.8641,1327689
14/01/2021,33.9401,34.0305,33.322,33.4932,2005196
15/01/2021,33.2554,33.3648,32.6088,32.9892,1967972
